chart_week.x,current_week,title,performer,last_week,peak_pos,wks_on_chart,chart_week.y,rank,uri,artist_names,source,peak_rank,previous_rank,weeks_on_chart,streams
4/15/2023,1,Flowers,Miley Cyrus,1,1,12,4/13/2023,1,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Columbia,1,1,13,40264180
4/15/2023,3,Die For You,The Weeknd & Ariana Grande,3,2,57,4/13/2023,24,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Universal Republic Records,12,20,61,17975014
4/15/2023,4,Like Crazy,Jimin,2,2,2,4/13/2023,19,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,BIGHIT MUSIC,15,15,3,19325142
4/15/2023,6,Kill Bill,SZA,5,1,17,4/13/2023,3,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Top Dawg Entertainment/RCA Records,1,3,18,33529239
4/15/2023,7,La Bebe,Yng Lvcas x Peso Pluma,7,7,6,4/13/2023,133,spotify:track:6odrHMSLjP3aOXC4ipKUC6,Yng Lvcas,Yng Lvcas,70,120,9,8422889
4/15/2023,8,TQG,Karol G x Shakira,4,1,6,4/13/2023,4,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"KAROL G, Shakira",Universal Music Latino,1,2,7,30904373
4/15/2023,9,Ella Baila Sola,Eslabon Armado X Peso Pluma,11,9,3,4/13/2023,2,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,"Eslabon Armado, Peso Pluma",DEL Records,2,4,4,35434424
4/15/2023,10,Last Night,Morgan Wallen,9,5,10,4/13/2023,20,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,14,24,10,18900451
4/15/2023,13,As It Was,Harry Styles,13,1,53,4/13/2023,9,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,Columbia,1,7,54,25781283
4/15/2023,15,Anti-Hero,Taylor Swift,14,1,24,4/13/2023,18,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Taylor Swift,1,16,25,19409810
4/15/2023,17,I'm Good (Blue),David Guetta & Bebe Rexha,18,2,32,4/13/2023,23,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",Parlophone UK,2,21,33,18236547
4/15/2023,18,Yandel 150,Yandel & Feid,17,13,13,4/13/2023,15,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",La Leyenda LLC,8,12,14,21769153
4/15/2023,20,Until I Found You,Stephen Sanchez,20,11,47,4/13/2023,134,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Republic Records,20,130,49,8364785
4/15/2023,21,Eyes Closed,Ed Sheeran,16,16,2,4/13/2023,44,spotify:track:4hy7qTxsnyZUZoqo5RtaYq,Ed Sheeran,Atlantic Records UK,27,46,3,13885396
4/15/2023,22,Cupid,Fifty Fifty,39,22,4,4/13/2023,160,spotify:track:5mg3VB3Qh7jcR5kAAC4DSV,FIFTY FIFTY,WM Korea,160,174,2,7825358
4/15/2023,23,Save Your Tears,The Weeknd & Ariana Grande,26,1,118,4/13/2023,117,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Republic Records,2,113,123,8913049
4/15/2023,25,Sure Thing,Miguel,23,13,16,4/13/2023,58,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Jive,14,61,18,11988193
4/15/2023,26,Players,Coi Leray,25,17,13,4/13/2023,45,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Uptown / Republic Records,20,40,12,13827490
4/15/2023,27,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",32,27,13,4/13/2023,21,spotify:track:1lRtH4FszTrwwlK5gTSbXO,"Natanael Cano, Peso Pluma, Gabito Ballesteros",WEA Latina,21,22,14,18680525
4/15/2023,28,PRC,Peso Pluma X Natanael Cano,36,28,10,4/13/2023,17,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"Peso Pluma, Natanael Cano",Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,17,17,11,20003637
4/15/2023,29,OMG,NewJeans,28,10,14,4/13/2023,43,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,ADOR,14,38,15,14192877
4/15/2023,30,I Ain't Worried,OneRepublic,29,5,44,4/13/2023,39,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,Interscope Records,7,36,45,15113599
4/15/2023,32,Another Love,Tom Odell,34,14,101,4/13/2023,37,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,ITNO/Columbia,15,31,105,15487616
4/15/2023,34,La Bachata,Manuel Turizo,31,6,39,4/13/2023,33,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,Sony Music Latin/La Industria,4,23,41,15648785
4/15/2023,35,People,Libianca,40,35,12,4/13/2023,54,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,5K Records Limited,52,54,13,12220381
4/15/2023,36,Lavender Haze,Taylor Swift,60,2,24,4/13/2023,85,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Taylor Swift,2,94,25,10088249
4/15/2023,37,Snooze,SZA,35,27,17,4/13/2023,48,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Top Dawg Entertainment/RCA Records,32,48,16,12893250
4/15/2023,38,El Azul,Junior H x Peso Pluma,59,38,4,4/13/2023,25,spotify:track:1haJsMtoBhHfvuM7XWuT3W,"Junior H, Peso Pluma",WEA Latina,25,30,7,17664379
4/15/2023,40,Blinding Lights,The Weeknd,42,2,135,4/13/2023,52,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Republic Records,1,56,176,12542546
4/15/2023,41,Coco Chanel,Eladio Carrion & Bad Bunny,22,22,3,4/13/2023,30,spotify:track:0PB0O24JqAuNdOAFVJljMS,"Eladio Carrion, Bad Bunny",Rimas Entertainment LLC,13,28,4,16014141
4/15/2023,42,Under The Influence,Chris Brown,41,3,37,4/13/2023,64,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Chris Brown Entertainment/RCA Records,6,66,38,11476532
4/15/2023,43,Hey Mor,Ozuna Featuring Feid,44,27,25,4/13/2023,35,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Aura Music Corp.,14,25,26,15531784
4/15/2023,44,Starboy,The Weeknd Featuring Daft Punk,43,34,92,4/13/2023,36,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Universal Republic Records,1,34,132,15531660
4/15/2023,45,All Of The Girls You Loved Before,Taylor Swift,21,10,3,4/13/2023,55,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,Taylor Swift,12,49,4,12145544
4/15/2023,46,Shorty Party,Cartel de Santa Featuring La Kelly,38,25,5,4/13/2023,66,spotify:track:55ZATsjPlTeSTNJOuW90pW,"Cartel De Santa, La Kelly","Babilonia Music, S.A. De C.V.",16,52,6,11130053
4/15/2023,47,Mockingbird,Eminem,57,42,25,4/13/2023,38,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Aftermath,24,39,26,15296314
4/15/2023,49,Heat Waves,Glass Animals,52,1,118,4/13/2023,67,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Polydor Records,1,81,120,11105809
4/15/2023,52,Ditto,NewJeans,49,8,16,4/13/2023,77,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,ADOR,11,82,17,10417589
4/15/2023,60,La Jumpa,Arcangel & Bad Bunny,51,14,18,4/13/2023,51,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",Rimas Entertainment LLC.,8,42,19,12570629
4/15/2023,61,Shivers,Ed Sheeran,64,3,82,4/13/2023,156,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Ed Sheeran,Atlantic Records UK,4,145,83,7965990
4/15/2023,62,Me Porto Bonito,Bad Bunny & Chencho Corleone,66,2,48,4/13/2023,56,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Rimas Entertainment LLC,2,57,49,12055517
4/15/2023,63,Perfect,Ed Sheeran,56,30,135,4/13/2023,103,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Atlantic Records UK,4,104,317,9506747
4/15/2023,64,Bebe Dame,Fuerza Regida X Grupo Frontera,62,17,14,4/13/2023,69,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Rancho Humilde/Street Mob Records,20,72,15,10900629
4/15/2023,65,Just Wanna Rock,Lil Uzi Vert,55,26,25,4/13/2023,74,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Generation Now/Atlantic,30,76,25,10698530
4/15/2023,66,You Proof,Morgan Wallen,63,22,47,4/13/2023,177,spotify:track:5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,91,200,7,7503016
4/15/2023,67,Made You Look,Meghan Trainor,54,6,24,4/13/2023,90,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Epic,8,95,25,9976839
4/15/2023,69,Fast Car,Luke Combs,88,69,2,4/13/2023,140,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,River House Artists/Columbia Nashville,140,-1,1,8209808
4/15/2023,70,El Gordo Trae El Mando,Chino Pacas,73,68,8,4/13/2023,50,spotify:track:3kf0WdFOalKWBkCCLJo4mA,Chino Pacas,STREET MOB,50,51,9,12594193
4/15/2023,71,Rich Flex,Drake & 21 Savage,68,1,22,4/13/2023,83,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",OVO / Republic Records,2,71,23,10246456
4/15/2023,72,Here With Me,d4vd,61,34,21,4/13/2023,26,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Darkroom/Interscope Records,14,27,24,17002316
4/15/2023,76,Fin de Semana,Junior H X Oscar Maydon,76,58,12,4/13/2023,61,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,"Oscar Maydon, Junior H",Rancho Humilde,45,59,13,11933054
4/15/2023,77,Classy 101,Feid x Young Miko,-,77,1,4/13/2023,32,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"Feid, Young Miko",UMLE - Latino,32,67,2,15858873
4/15/2023,79,Que Vuelvas,Carin Leon X Grupo Frontera,79,34,15,4/13/2023,79,spotify:track:6Um358vY92UBv5DloTRX9L,"Carin Leon, Grupo Frontera",BorderKid Records/Sony Music Latin,36,78,15,10347624
4/15/2023,80,Bones,Imagine Dragons,77,32,56,4/13/2023,47,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Kid Ina Korner / Interscope,26,47,57,12974381
